id,numero,sexo,total_electores,cantidad_votantes,dni_presidente,dni_suplente,circuito_id,municipio_id,departamento_id,esta_cargada,esta_incorporada,escuela_id,cantidad_sobres,asignacion1,asignacion2,carga1,carga2,ruta_imagen,cantidad_votantes2,cantidad_sobres2,cantidad_votantes3,cantidad_sobres3,fh_ruta,h_asig1,h_asig2,bue
123,1329,,351,272,0,0,40,12,5,X,X,17,272,31,20,t,t,aceptados/1329.jpg,272,272,272,272,17/11/2021 09:14:25,2021/11/17 09:14:26,2021/11/17 09:14:26,
46,1246,,347,261,0,0,33,32,4,X,X,6,261,2,32,t,t,aceptados/1246.jpg,261,261,261,261,16/11/2021 20:25:18,2021/11/16 20:26:55,2021/11/16 20:25:58,
631,2596,,350,305,0,0,161,51,23,X,X,85,305,22,21,t,t,aceptados/2596.jpg,305,305,305,305,17/11/2021 17:47:54,2021/11/17 17:48:13,2021/11/17 17:47:59,
535,1911,,350,285,0,0,74,48,10,X,X,68,285,25,35,t,t,aceptados/1911.jpg,285,285,285,285,17/11/2021 12:02:44,2021/11/17 12:03:23,2021/11/17 12:03:46,
480,1747,,348,277,0,0,62,39,8,X,X,62,277,18,21,t,t,aceptados/1747.jpg,277,277,277,277,17/11/2021 11:15:05,2021/11/17 11:15:20,2021/11/17 11:15:26,
524,1900,,350,300,0,0,74,48,10,X,X,67,300,24,21,t,t,aceptados/1900.jpg,300,300,300,300,17/11/2021 12:01:52,2021/11/17 12:02:19,2021/11/17 12:02:18,
599,2188,,350,282,0,0,107,43,15,X,X,81,282,22,42,t,t,aceptados/2188.jpg,282,282,282,282,17/11/2021 19:22:03,2021/11/17 19:23:28,2021/11/17 19:22:42,
281,1541,,349,272,0,0,53,60,7,X,X,38,272,22,31,t,t,aceptados/1541.jpg,272,272,272,272,17/11/2021 19:00:28,2021/11/17 19:01:18,2021/11/17 19:00:28,
91,1291,,349,270,0,0,34,32,4,X,X,11,270,32,32,t,t,aceptados/1291.jpg,270,270,270,270,16/11/2021 20:51:54,2021/11/16 20:58:15,2021/11/16 20:54:15,
100,1300,,348,263,0,0,34,32,4,X,X,12,263,41,32,t,t,aceptados/1300.jpg,263,263,263,263,16/11/2021 20:51:44,2021/11/16 20:58:04,2021/11/16 20:53:46,
551,1927,,350,260,0,0,77,49,10,X,X,72,260,20,17,t,t,aceptados/1927.jpg,260,260,260,260,17/11/2021 12:17:15,2021/11/17 12:17:15,2021/11/17 12:17:17,
245,1505,,347,274,0,0,53,60,7,X,X,34,274,43,31,t,t,aceptados/1505.jpg,274,274,274,274,17/11/2021 19:04:28,2021/11/17 19:05:05,2021/11/17 19:04:36,
236,1477,,350,284,0,0,50,65,6,X,X,33,284,31,25,t,t,aceptados/1477.jpg,284,284,284,284,17/11/2021 09:46:27,2021/11/17 09:46:27,2021/11/17 09:46:27,
360,1627,,350,273,0,0,58,63,7,X,X,47,273,18,21,t,t,aceptados/1627.jpg,273,273,273,273,17/11/2021 10:13:09,2021/11/17 10:14:21,2021/11/17 10:20:31,
3,1089,,350,241,0,0,26,69,2,X,X,1,241,20,21,t,t,aceptados/1089.jpg,241,241,241,241,17/11/2021 11:26:18,2021/11/17 11:26:21,2021/11/17 11:26:22,
357,1624,,350,242,0,0,58,63,7,X,X,47,242,24,25,t,t,aceptados/1624.jpg,242,242,242,242,17/11/2021 09:55:45,2021/11/17 09:55:45,2021/11/17 09:55:49,
13,1099,,260,185,0,0,26,69,2,X,X,2,185,25,22,t,t,aceptados/1099.jpg,185,185,185,185,17/11/2021 11:17:21,2021/11/17 11:18:19,2021/11/17 11:18:26,
393,1660,,350,257,0,0,62,39,8,X,X,53,257,18,21,t,t,aceptados/1660.jpg,257,257,257,257,17/11/2021 10:14:43,2021/11/17 10:16:24,2021/11/17 10:22:45,
301,1561,,192,138,0,0,54,60,7,X,X,40,138,22,21,t,t,aceptados/1561.jpg,138,138,138,138,17/11/2021 18:56:13,2021/11/17 18:56:15,2021/11/17 18:56:14,
446,1713,,350,255,0,0,62,39,8,X,X,58,255,24,22,t,t,aceptados/1713.jpg,255,255,255,255,17/11/2021 10:56:51,2021/11/17 10:56:52,2021/11/17 11:01:20,
657,2627,,349,271,0,0,165,21,24,X,X,89,271,43,21,t,t,aceptados/2627.jpg,271,271,271,271,17/11/2021 17:52:40,2021/11/17 17:52:43,2021/11/17 17:52:42,
7,1093,,350,246,0,0,26,69,2,X,X,1,246,18,17,t,t,aceptados/1093.jpg,246,246,246,246,17/11/2021 11:18:04,2021/11/17 11:19:03,2021/11/17 11:19:07,
154,1360,,350,275,0,0,40,12,5,X,X,20,275,18,20,t,t,aceptados/1360.jpg,275,275,275,275,17/11/2021 08:56:37,2021/11/17 09:36:59,2021/11/17 10:08:05,
507,1883,,350,273,0,0,74,48,10,X,X,67,273,25,22,t,t,aceptados/1883.jpg,273,273,273,273,17/11/2021 12:06:22,2021/11/17 12:06:22,2021/11/17 12:06:24,
405,1672,,351,256,0,0,62,39,8,X,X,54,256,24,21,t,t,aceptados/1672.jpg,256,256,256,256,17/11/2021 11:03:50,2021/11/17 11:03:54,2021/11/17 11:04:32,
491,1758,,263,209,0,0,62,39,8,X,X,63,209,24,21,t,t,aceptados/1758.jpg,209,209,209,209,17/11/2021 11:18:24,2021/11/17 11:19:23,2021/11/17 11:19:31,
509,1885,,349,291,0,0,74,48,10,X,X,67,291,18,35,t,t,aceptados/1885.jpg,291,291,291,291,17/11/2021 12:05:23,2021/11/17 12:05:25,2021/11/17 12:05:24,
337,1604,,350,267,0,0,58,63,7,X,X,45,267,21,21,t,t,aceptados/1604.jpg,267,267,267,267,17/11/2021 10:11:48,2021/11/17 10:11:50,2021/11/17 10:16:28,
95,1295,,350,279,0,0,34,32,4,X,X,11,279,2,32,t,t,aceptados/1295.jpg,279,279,279,279,16/11/2021 20:51:50,2021/11/16 20:58:11,2021/11/16 20:54:00,
