id,numero,sexo,total_electores,cantidad_votantes,dni_presidente,dni_suplente,circuito_id,municipio_id,departamento_id,esta_cargada,esta_incorporada,escuela_id,cantidad_sobres,asignacion1,asignacion2,carga1,carga2,ruta_imagen,cantidad_votantes2,cantidad_sobres2,cantidad_votantes3,cantidad_sobres3,fh_ruta,h_asig1,h_asig2,bue
23,2195,,229,179,0,0,122,6,17,X,X,8,179,83,36,t,t,aceptados/2195.JPG,179,179,179,179,25/10/2017 17:52:17,2017/10/25 17:54:15,2017/10/25 17:53:50,
33,2263,,350,292,0,0,130,23,19,X,X,3,292,55,36,t,t,aceptados/2263.JPG,292,292,292,292,25/10/2017 19:31:36,2017/10/25 19:31:51,2017/10/25 19:31:41,
50,2280,,350,272,0,0,130,23,19,X,X,4,272,55,48,t,t,aceptados/2280.JPG,272,272,272,272,25/10/2017 19:23:48,2017/10/25 19:33:10,2017/10/25 19:26:07,
57,2287,,350,272,0,0,130,23,19,X,X,4,272,55,36,t,t,aceptados/2287.JPG,272,272,272,272,25/10/2017 19:33:34,2017/10/25 19:35:41,2017/10/25 19:33:43,
63,2293,,350,292,0,0,130,23,19,X,X,5,292,55,36,t,t,aceptados/2293.JPG,292,292,292,292,25/10/2017 19:26:30,2017/10/25 19:40:19,2017/10/25 19:31:58,
75,2305,,302,313,0,0,130,23,19,X,X,5,313,55,48,t,t,aceptados/2305.JPG,313,313,313,313,25/10/2017 19:33:49,2017/10/25 19:46:09,2017/10/25 19:37:23,
66,2296,,350,279,0,0,130,23,19,X,X,5,279,55,48,t,t,aceptados/2296.JPG,279,279,279,279,25/10/2017 19:35:17,2017/10/25 19:42:23,2017/10/25 19:35:21,
51,2281,,350,277,0,0,130,23,19,X,X,4,277,55,48,t,t,aceptados/2281.JPG,277,277,277,277,25/10/2017 19:23:22,2017/10/25 19:33:29,2017/10/25 19:26:34,
15,1182,,196,144,0,0,32,10,3,X,X,2,144,83,36,t,t,aceptados/1182.JPG,144,144,144,144,25/10/2017 09:37:20,2017/10/25 09:38:48,2017/10/25 09:39:27,
53,2283,,350,283,0,0,130,23,19,X,X,4,283,55,48,t,t,aceptados/2283.JPG,283,283,283,283,25/10/2017 19:25:51,2017/10/25 19:34:07,2017/10/25 19:27:25,
